date,caudal_santodomingo_m3s,volumen_santodomingo_mmc
1989-03-01,36.635,98.12
1989-04-01,28.563,74.04
1989-05-01,13.419,35.94
1989-06-01,9.944,25.77
1989-07-01,6.805,18.23
1989-08-01,3.686,9.87
1989-09-01,3.616,9.37
1989-10-01,8.365,22.4
1989-11-01,4.172,10.81
1989-12-01,3.547,9.5
1990-01-01,NA,NA
1990-02-01,7.848,18.99
1990-03-01,12.419,33.26
1990-04-01,5.068,13.14
1990-05-01,4.15,11.12
1990-06-01,4.469,11.58
1990-07-01,3.891,10.42
1990-08-01,2.923,7.83
1990-09-01,3.806,9.87
1990-10-01,7.062,18.91
1990-11-01,17.832,46.22
1990-12-01,11.701,31.34
1991-01-01,19.272,51.62
1991-02-01,17.414,42.13
1991-03-01,36.335,97.32
1991-04-01,9.095,23.57
1991-05-01,7.398,19.81
1991-06-01,5.382,13.95
1991-07-01,4.781,12.81
1991-08-01,4.136,11.08
1991-09-01,NA,NA
1991-10-01,4.857,13.01
1991-11-01,NA,NA
1991-12-01,NA,NA
1992-01-01,5.69,15.24
1992-02-01,NA,NA
1992-03-01,9.7,25.98
1992-04-01,7.757,20.11
1992-05-01,4.353,11.66
1992-06-01,3.001,7.78
1992-07-01,2.918,7.82
1992-08-01,2.346,6.28
1992-09-01,2.747,7.12
1992-10-01,4.469,11.97
1992-11-01,3.336,8.65
1992-12-01,3.641,9.75
1993-01-01,8.65,23.17
1993-02-01,26.277,63.57
1993-03-01,28.695,76.86
1993-04-01,18.561,48.11
1993-05-01,11.388,30.5
1993-06-01,5.984,15.51
1993-07-01,4.324,11.58
1993-08-01,3.359,9.0
1993-09-01,3.904,10.12
1993-10-01,4.67,12.51
1993-11-01,16.262,42.15
1993-12-01,23.094,61.85
1994-01-01,20.322,54.43
1994-02-01,35.944,86.96
1994-03-01,65.914,176.54
1994-04-01,50.93,132.01
1994-05-01,19.646,52.62
1994-06-01,9.3,24.11
1994-07-01,5.67,15.19
1994-08-01,4.943,13.24
1994-09-01,4.495,11.65
1994-10-01,6.205,16.62
1994-11-01,5.776,14.97
1994-12-01,5.658,15.15
1995-01-01,13.141,35.2
1995-02-01,9.377,22.68
1995-03-01,15.995,42.84
1995-04-01,15.453,40.05
1995-05-01,6.196,16.6
1995-06-01,4.601,11.93
1995-07-01,4.901,13.13
1995-08-01,4.082,10.93
1995-09-01,2.88,7.46
1995-10-01,3.859,10.34
1995-11-01,6.072,15.74
1995-12-01,10.208,27.34
1996-01-01,20.356,54.52
1996-02-01,57.439,143.92
1996-03-01,59.591,159.61
1996-04-01,38.134,98.84
1996-05-01,9.765,26.15
1996-06-01,5.133,13.3
1996-07-01,4.435,11.88
1996-08-01,4.917,13.17
1996-09-01,4.547,11.79
1996-10-01,4.85,12.99
1996-11-01,4.112,10.66
1996-12-01,7.388,19.79
1997-01-01,15.584,41.74
1997-02-01,39.115,94.63
1997-03-01,24.261,64.98
1997-04-01,6.15,15.94
1997-05-01,4.385,11.74
1997-06-01,4.092,10.61
1997-07-01,3.894,10.43
1997-08-01,3.576,9.58
1997-09-01,3.98,10.32
1997-10-01,3.676,9.85
1997-11-01,7.734,20.05
1997-12-01,33.966,90.97
1998-01-01,66.38,177.79
1998-02-01,69.263,167.56
1998-03-01,74.166,198.65
1998-04-01,32.779,84.96
1998-05-01,8.404,22.51
1998-06-01,4.83,12.52
1998-07-01,4.415,11.83
