date,precipitacion_asuncion_mm,precipitacion_chilete_mm,precipitacion_contumaza_mm,precipitacion_granjaporcon_mm,precipitacion_huacraruro_mm,precipitacion_livis_mm,precipitacion_llapa_mm,precipitacion_magdalena_mm,precipitacion_montegrande_mm,precipitacion_quebradahonda_mm,precipitacion_quilcate_mm,precipitacion_sanjuan_mm,precipitacion_talla_mm
1972-12-01,NA,18.2,44.8,119.7,127.1,56.3,85.7,33.2,NA,92.5,97.9,93.9,0.0
1973-01-01,194.9,91.0,251.5,186.3,326.1,111.4,227.5,109.3,NA,73.5,147.9,218.4,0.0
1973-02-01,35.1,30.8,88.9,103.0,277.2,106.7,103.4,55.2,NA,111.1,39.6,165.3,4.6
1973-03-01,85.9,59.1,132.4,203.0,370.8,69.0,256.3,89.6,NA,115.4,142.1,298.6,7.2
1973-04-01,224.1,102.8,147.8,229.1,335.0,156.9,245.0,110.7,NA,93.5,201.0,213.8,5.7
1973-05-01,2.3,6.3,20.4,62.0,67.4,6.5,75.1,13.5,NA,23.0,84.0,29.8,0.0
1973-06-01,NA,NA,10.0,70.6,23.1,23.9,47.0,8.7,NA,13.4,72.9,32.6,0.7
1973-07-01,0.3,NA,10.0,33.9,8.0,4.1,23.3,NA,NA,19.4,65.7,1.5,0.0
1973-08-01,NA,NA,NA,124.4,3.6,3.4,26.3,NA,NA,25.9,53.1,3.7,0.6
1973-09-01,38.1,10.1,38.0,139.4,63.1,30.7,96.0,23.3,NA,47.3,28.8,68.4,0.7
1973-10-01,23.2,5.1,14.0,22.0,143.3,25.1,111.7,21.2,NA,77.1,22.2,65.9,0.0
1973-11-01,13.8,NA,NA,173.9,82.4,26.4,62.7,10.5,NA,90.3,58.9,64.5,0.0
1973-12-01,82.6,16.0,20.0,121.3,124.4,33.3,158.4,30.4,NA,52.0,129.1,127.9,0.0
1974-01-01,71.8,28.9,38.9,146.8,108.1,53.2,93.4,45.9,NA,90.1,97.9,144.6,2.5
1974-02-01,150.8,44.4,113.4,112.7,322.3,99.0,178.3,82.1,NA,76.3,91.0,244.2,5.5
1974-03-01,72.5,23.0,24.8,159.7,251.1,18.6,63.2,34.2,NA,80.7,49.5,132.8,0.5
1974-04-01,37.2,14.6,41.2,202.8,105.8,26.7,113.4,24.7,NA,68.2,64.5,80.9,9.4
1974-05-01,22.0,NA,NA,50.5,3.8,0.4,24.3,NA,NA,40.2,75.2,4.5,0.0
1974-06-01,NA,NA,10.4,50.0,13.5,21.8,61.5,6.7,NA,36.4,83.0,28.4,0.0
1974-07-01,NA,NA,NA,18.0,4.9,10.2,12.7,NA,NA,5.6,101.5,3.8,0.0
1974-08-01,NA,0.8,NA,59.0,27.2,27.8,42.2,NA,NA,0.0,41.0,14.7,0.0
1974-09-01,NA,4.4,46.0,45.0,NA,12.0,47.3,15.1,NA,40.6,70.0,41.4,0.0
1974-10-01,16.2,6.2,NA,81.6,56.0,60.1,102.1,17.2,NA,49.6,66.5,41.8,1.5
1974-11-01,NA,12.0,5.2,62.5,79.7,18.3,36.8,19.8,NA,51.3,38.7,65.2,0.5
1974-12-01,10.7,10.4,11.0,104.0,90.0,15.4,26.3,11.0,NA,65.5,55.0,65.1,0.0
1975-01-01,45.3,34.1,25.8,108.1,158.1,70.9,160.9,53.9,NA,66.6,28.5,103.3,6.1
1975-02-01,76.0,59.3,108.0,23.3,290.2,127.7,196.9,86.3,NA,61.6,174.5,266.8,15.1
1975-03-01,277.1,127.4,71.2,181.7,438.3,234.2,324.0,168.2,NA,92.1,166.0,298.3,9.7
1975-04-01,13.6,38.3,5.0,224.7,100.3,103.4,161.3,64.4,NA,70.7,119.5,220.5,4.7
1975-05-01,9.2,1.3,NA,59.9,40.4,9.0,45.0,5.7,NA,33.6,61.5,34.3,0.0
1975-06-01,12.9,7.3,8.2,32.5,56.6,14.0,23.5,4.7,NA,8.5,NA,35.3,1.8
1975-07-01,NA,NA,NA,3.0,16.1,8.7,9.7,NA,NA,26.3,25.5,11.5,0.0
1975-08-01,7.0,NA,53.4,53.5,23.7,20.0,41.1,5.4,NA,1.3,44.0,48.5,2.4
1975-09-01,28.5,8.1,17.0,16.0,58.5,19.8,77.3,25.3,NA,24.1,73.3,69.1,2.0
