date,precipitacion_cabanaconde_mm,precipitacion_tisco_mm,precipitacion_huambo_mm,precipitacion_madrigal_mm,precipitacion_chivay_mm,precipitacion_sibayo_mm,precipitacion_chuquibamba_mm,precipitacion_condoroma_mm,precipitacion_crucero_mm,precipitacion_imata_mm,precipitacion_angostura_mm,precipitacion_frayle_mm,precipitacion_pane_mm,precipitacion_caylloma_mm,precipitacion_yanque_mm,precipitacion_calera_mm,precipitacion_sumbay_mm,precipitacion_visuyo_mm,precipitacion_huanca_mm,precipitacion_aplao_mm,precipitacion_pampademajes_mm,precipitacion_porpera_mm,precipitacion_pampadearrieros_mm
1972-01-01,174.4,362.11,186.91,184.02,145.0,239.2,152.8,256.02,158.85,188.3,251.8,119.2,261.6,229.21,192.3,246.43,187.02,294.92,48.46,1.8,0.7,378.31,111.9
1972-02-01,160.6,188.7,165.1,138.34,121.8,107.5,115.61,129.85,75.37,186.3,129.3,117.1,86.7,128.21,126.2,107.42,233.1,183.5,102.62,2.32,1.84,76.43,154.4
1972-03-01,239.01,235.43,162.9,160.46,166.4,220.5,101.6,225.47,159.34,156.8,200.6,117.3,200.0,186.61,172.0,136.9,165.63,239.31,73.55,2.8,0.83,124.03,99.2
1972-04-01,6.6,32.63,0.0,24.52,21.3,36.61,0.0,47.51,31.72,17.9,59.3,5.7,44.8,58.82,18.0,76.72,7.5,56.2,0.0,0.0,1.61,9.82,0.0
1972-05-01,0.0,0.06,0.03,0.0,0.0,0.8,0.0,5.66,0.0,1.1,3.3,0.0,1.5,4.71,0.0,5.5,0.0,0.01,0.0,0.0,0.0,0.5,0.0
1972-06-01,0.0,0.0,0.0,5.0,0.0,0.7,0.0,0.1,0.0,1.2,0.0,0.0,0.01,1.31,1.2,0.4,0.0,0.01,0.0,0.0,0.27,0.0,0.0
1972-07-01,0.0,2.3,0.0,0.0,1.0,0.0,0.0,10.56,0.81,0.6,1.0,0.0,0.4,0.6,3.4,2.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
1972-08-01,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,2.2,0.72,0.0,2.5,0.0,0.0,0.0,0.0,2.0,4.6,0.0
1972-09-01,8.44,55.06,7.74,5.45,29.2,41.4,0.05,20.89,51.85,41.5,37.5,9.2,25.51,42.61,25.9,25.22,0.07,43.51,0.0,0.0,1.71,32.02,0.0
1972-10-01,29.7,32.91,35.7,16.03,37.5,30.7,14.4,43.16,19.93,30.5,37.61,12.1,29.2,53.1,53.3,13.41,0.04,67.9,18.1,1.41,0.72,16.63,14.8
1972-11-01,0.0,32.11,0.0,4.41,1.7,16.33,0.0,44.0,24.6,8.3,27.31,0.0,44.3,31.9,14.4,38.12,0.0,44.91,0.0,0.0,0.0,27.8,0.0
1972-12-01,41.41,90.13,52.73,37.4,57.4,57.42,10.6,105.24,94.11,81.0,72.21,60.5,57.11,95.41,66.2,36.02,88.31,77.21,13.4,0.02,1.54,16.1,20.1
